,Players,Batting,Bowling,Games,Won,Drawn,Win %,Innings Batted,Runs,Singles,Fours,Sixes,Dot Balls,Balls Faced,Outs,Bowled Outs,LBW Outs,Hitwicket Outs,Caught Outs,Stumped Outs,Run Outs,Caught and Bowled Outs,Dot Ball %,Strike Turnover %,Batting S/R,Batting S/R MeanAD,Batting Avg,Mean Score,Score MeanAD,Scoring Consistency,Boundary %,Runs/Ball,Mean Balls Faced,Balls Faced MeanAD,Survival Consistency,Avg First Boundary Ball,Dismissal Rate,Boundary Rate,Innings Bowled,Runsgiven,Singlesgiven,Foursgiven,Sixesgiven,Wickets,Balls Bowled,Extras,No Balls,Wides,Dot Balls Bowled,Bowleds,LBWs,Hitwickets,Caughts,Stumpeds,Caught and Bowleds,Catches,Runouts,Stumpings,Economy Rate,Economy Rate MeanAD,Dot Ball Bowled %,Boundary Given %,Bowling Avg,Bowling Avg MeanAD,Bowling S/R,Bowling S/R MeanAD,Runsgiven/Ball,Boundary Given Rate,Strike Turnovergiven %,Avg Consecutive Dot Balls,Runs Rate,Runsgiven/Wicket,Runs AA,Runs/Ball AA,Runsgiven AA,Runsgiven/Ball AA
AJ Hosein,AJ Hosein,Left hand,Left arm orthodox,2,2,0,100.0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,100.0,,1.0,inf,2,76,22,5,2,1,42,14,1,13,10,1,0,0,0,0,0,2,0,0,10.9,0,23.8,16.7,76.0,0,42.0,0,1.8,6.0,45.8,1.1,0.0,76.0,-13.5,-1.0,61.7,0.4
Q de Kock,Q de Kock,Left hand,,2,0,0,0.0,2,60,8,7,4,16,35,2,1,1,0,0,0,0,0,0.5,29.7,171.4,67.81,30.0,30.0,11.0,63.3,31.4,1.7,17.5,0.5,97.1,3.5,17.5,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,,,,0,,0,,,,0.0,10.3,,46.5,0.7,-14.3,
G Motie,G Motie,Left hand,Left arm orthodox,2,2,0,100.0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0.5,50.0,100.0,0.0,inf,2.0,0.0,100.0,0.0,1.0,2.0,0.0,100.0,,inf,inf,2,43,17,0,3,5,42,0,0,0,16,0,1,0,4,0,0,1,0,0,6.1,0,38.1,7.1,8.6,0,8.4,0,1.0,14.0,45.2,2.0,6.0,8.6,-11.5,-0.0,28.7,-0.4
OC McCoy,OC McCoy,Left hand,Left arm pace,2,2,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,2,71,12,5,6,3,36,1,0,1,11,0,0,0,3,0,0,0,0,0,11.8,0,30.6,30.6,23.67,0,12.0,0,2.0,3.3,35.1,1.3,,23.7,-13.5,,56.7,0.6
S Joseph,S Joseph,,,2,2,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,2,47,8,6,2,2,30,3,0,3,11,0,0,0,2,0,0,2,1,0,9.4,0,36.7,26.7,23.5,0,15.0,0,1.6,3.8,30.3,1.6,,23.5,-13.5,,32.7,0.2
HE van der Dussen,HE van der Dussen,Right hand,Right arm leg break,2,0,0,0.0,2,81,25,1,7,14,53,2,0,0,0,2,0,0,0,0.3,50.9,152.8,14.08,40.5,40.5,10.5,74.1,15.1,1.5,26.5,4.5,83.0,12.0,26.5,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,9.2,,67.5,0.5,-14.3,
Taranjeet Singh,Taranjeet Singh,Right hand,Right arm off break,2,1,0,50.0,2,90,16,14,2,16,51,2,0,0,0,2,0,0,0,0.3,29.6,176.5,30.0,45.0,45.0,17.0,62.2,31.4,1.8,25.5,5.5,78.4,2.5,25.5,3.2,2,51,17,4,2,0,36,2,0,2,10,0,0,0,0,0,0,2,0,0,8.5,0,27.8,16.7,inf,0,inf,0,1.4,6.0,44.7,1.1,10.6,inf,76.5,0.8,36.7,0.0
A Rajshekara,A Rajshekara,,,2,1,0,50.0,2,72,22,6,3,30,66,2,0,0,0,2,0,0,0,0.5,32.4,109.1,13.69,36.0,36.0,14.0,61.1,13.6,1.1,33.0,9.0,72.7,8.5,33.0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,6.5,,58.5,0.1,-14.3,
L Bruce,L Bruce,Right hand,Right arm pace,1,1,0,100.0,1,71,21,8,1,17,54,0,0,0,0,0,0,0,0,0.3,37.3,131.5,0.0,inf,71.0,0.0,100.0,16.7,1.3,54.0,0.0,100.0,5.0,inf,6.0,1,30,11,3,0,0,24,1,0,1,6,0,0,0,0,0,0,1,0,0,7.5,0,25.0,12.5,inf,0,inf,0,1.2,8.0,56.0,1.2,7.9,inf,57.5,0.3,15.7,-0.2
A Reyes,A Reyes,Right hand,Right arm pace,1,1,0,100.0,1,4,0,1,0,4,5,1,0,0,0,1,0,0,0,0.8,20.0,80.0,0.0,4.0,4.0,0.0,100.0,20.0,0.8,5.0,0.0,100.0,4.0,5.0,5.0,1,32,11,2,1,1,24,5,0,5,9,0,0,0,1,0,0,0,0,0,8.0,0,37.5,12.5,32.0,0,24.0,0,1.3,8.0,46.4,1.8,4.8,32.0,-9.5,-0.2,17.7,-0.1
S Bodha,S Bodha,,,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,16,8,1,0,5,24,2,0,2,14,1,1,0,3,0,0,0,0,0,4.0,0,58.3,4.2,3.2,0,4.8,0,0.7,24.0,20.0,2.3,,3.2,-13.5,,1.7,-0.7
IDM Latin,IDM Latin,Right hand,Right arm leg break,1,1,0,100.0,1,3,1,0,0,1,3,1,0,0,0,1,0,0,0,0.3,33.3,100.0,0.0,3.0,3.0,0.0,100.0,0.0,1.0,3.0,0.0,100.0,,3.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,,,,0,,0,,,,0.0,6.0,,-10.5,-0.0,-14.3,
Muhammad Moiz,Muhammad Moiz,,,2,1,0,50.0,2,12,0,0,2,5,7,2,1,0,0,0,0,0,1,0.7,12.5,171.4,150.0,6.0,6.0,6.0,0.0,28.6,1.7,3.5,0.5,85.7,1.0,3.5,3.5,1,15,4,1,0,1,18,5,0,5,9,1,0,0,0,0,0,2,0,0,5.0,0,50.0,5.6,15.0,0,18.0,0,0.8,18.0,47.6,4.0,10.3,15.0,-1.5,0.7,0.7,-0.6
K Mirpuri,K Mirpuri,Right hand,Right arm off break,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,29,7,3,1,1,24,4,0,4,13,0,0,0,1,0,0,1,0,0,7.2,0,54.2,16.7,29.0,0,24.0,0,1.2,6.0,30.8,2.2,,29.0,-13.5,,14.7,-0.2
V Saini,V Saini,Right hand,Right arm pace,2,1,0,50.0,2,50,18,7,0,5,33,2,0,0,0,2,0,0,0,0.2,50.0,151.5,15.08,25.0,25.0,20.0,20.0,21.2,1.5,16.5,12.5,24.200000000000003,6.5,16.5,4.7,1,25,9,3,0,1,24,0,0,0,10,0,0,0,1,0,0,2,0,0,6.2,0,41.7,12.5,25.0,0,24.0,0,1.0,8.0,41.7,1.4,9.1,25.0,36.5,0.5,10.7,-0.4
S Periyalwar,S Periyalwar,Right hand,Right arm pace,1,0,0,0.0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,100.0,,1.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,0.0,,-13.5,-1.0,-14.3,
