,Players,Batting,Bowling,Games,Won,Drawn,Win %,Innings Batted,Runs,Singles,Fours,Sixes,Dot Balls,Balls Faced,Outs,Bowled Outs,LBW Outs,Hitwicket Outs,Caught Outs,Stumped Outs,Run Outs,Caught and Bowled Outs,Dot Ball %,Strike Turnover %,Batting S/R,Batting S/R MeanAD,Batting Avg,Mean Score,Score MeanAD,Scoring Consistency,Boundary %,Runs/Ball,Mean Balls Faced,Balls Faced MeanAD,Survival Consistency,Avg First Boundary Ball,Dismissal Rate,Boundary Rate,Innings Bowled,Runsgiven,Singlesgiven,Foursgiven,Sixesgiven,Wickets,Balls Bowled,Extras,No Balls,Wides,Dot Balls Bowled,Bowleds,LBWs,Hitwickets,Caughts,Stumpeds,Caught and Bowleds,Catches,Runouts,Stumpings,Economy Rate,Economy Rate MeanAD,Dot Ball Bowled %,Boundary Given %,Bowling Avg,Bowling Avg MeanAD,Bowling S/R,Bowling S/R MeanAD,Runsgiven/Ball,Boundary Given Rate,Strike Turnovergiven %,Avg Consecutive Dot Balls,Runs Rate,Runsgiven/Wicket,Runs AA,Runs/Ball AA,Runsgiven AA,Runsgiven/Ball AA
H Pragji,H Pragji,Right hand,,4,0,0,0.0,4,38,26,1,0,33,65,3,0,2,0,1,0,0,0,0.5,47.7,58.5,13.45,12.67,9.5,10.25,-7.900000000000006,1.5,0.6,16.2,12.88,20.5,26.0,21.7,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,3.5,,-262.9,-0.3,-313.1,
V Mbazo,V Mbazo,Right hand,,22,7,0,31.8,19,190,72,15,3,109,220,17,5,1,0,9,1,0,1,0.5,37.0,86.4,41.97,11.18,10.0,8.11,18.900000000000006,8.2,0.9,11.6,7.15,38.4,8.2,12.9,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9,,0,,,,0,,0,,,,0.0,5.2,,-110.9,0.0,-313.1,
L Louwrens,L Louwrens,Right hand,,1,1,0,100.0,1,17,4,1,1,8,15,0,0,0,0,0,0,0,0,0.5,43.8,113.3,0.0,inf,17.0,0.0,100.0,13.3,1.1,15.0,0.0,100.0,8.0,inf,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,6.8,,-283.9,0.2,-313.1,
Samantha Singham,Samantha Singham,Right hand,Right arm pace,1,0,0,0.0,1,1,1,0,0,7,8,1,0,0,0,0,0,1,0,0.9,44.4,12.5,0.0,1.0,1.0,0.0,100.0,0.0,0.1,8.0,0.0,100.0,,8.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,0.8,,-299.9,-0.8,-313.1,
V Pasupathy,V Pasupathy,Right hand,,3,0,0,0.0,3,16,10,1,0,34,46,3,1,0,0,2,0,0,0,0.7,24.5,34.8,18.99,5.33,5.33,3.56,33.2,2.2,0.3,15.3,4.44,71.0,4.0,15.3,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,2.1,,-284.9,-0.6,-313.1,
JM Kerr,JM Kerr,Right hand,Right arm pace,92,61,0,66.3,41,329,101,34,4,88,265,28,7,0,0,14,2,3,2,0.3,41.1,124.2,59.86,11.75,8.02,5.2,35.2,14.3,1.2,6.5,3.65,43.8,4.2,9.5,7.0,90,1835,620,215,16,83,1859,41,9,32,882,21,0,0,54,6,2,32,6,0,5.9,0,47.4,12.4,22.11,0,22.4,0,1.0,8.0,35.9,1.9,7.4,22.1,28.1,0.3,1521.9,-0.3
RM Ghosh,RM Ghosh,Right hand,Right arm pace,92,42,0,45.7,82,1454,380,159,52,480,1149,63,12,5,0,36,4,3,3,0.4,34.7,126.5,49.57,23.08,17.73,11.76,33.7,18.4,1.3,14.0,7.14,49.0,6.1,18.2,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,32,35,,0,,,,0,,0,,,,0.0,7.6,,1153.1,0.4,-313.1,
S Sandeepani,S Sandeepani,Right hand,Right arm pace,1,0,0,0.0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,100.0,,1.0,inf,1,11,3,2,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,11.0,0,16.7,33.3,inf,0,inf,0,1.8,3.0,33.3,1.0,0.0,inf,-300.9,-0.9,-302.1,0.5
LR Down,LR Down,Right hand,Right arm pace,54,29,0,53.7,45,701,287,64,1,330,764,40,5,3,0,29,1,2,0,0.4,38.8,91.8,33.52,17.52,15.58,12.23,21.5,8.5,0.9,17.0,11.75,30.900000000000006,7.0,19.1,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,,0,,,,0,,0,,,,0.0,5.5,,400.1,0.0,-313.1,
LR Morris,LR Morris,Right hand,Right arm pace,27,16,0,59.3,3,3,3,0,0,6,9,2,1,0,0,0,0,1,0,0.7,44.4,33.3,37.04,1.5,1.0,0.67,33.0,0.0,0.3,3.0,2.0,33.3,,4.5,inf,27,665,170,63,23,25,477,28,4,24,181,1,0,0,23,0,1,5,1,0,8.4,0,37.9,18.0,26.6,0,19.1,0,1.4,5.5,37.1,1.6,2.0,26.6,-297.9,-0.6,351.9,0.1
J Morgan,J Morgan,Left hand,Right arm leg break,1,0,0,0.0,1,1,1,0,0,2,3,1,1,0,0,0,0,0,0,0.7,20.0,33.3,0.0,1.0,1.0,0.0,100.0,0.0,0.3,3.0,0.0,100.0,,3.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,2.0,,-299.9,-0.6,-313.1,
NA McSweeney,NA McSweeney,Right hand,Right arm off break,18,9,0,50.0,18,428,162,35,8,130,379,16,1,4,0,9,0,1,1,0.3,45.5,112.9,21.36,26.75,23.78,17.17,27.799999999999997,11.3,1.1,21.1,11.73,44.4,8.1,23.7,8.8,5,45,25,1,1,4,47,0,0,0,15,0,0,0,2,0,2,3,0,0,5.7,0,31.9,4.3,11.25,0,11.8,0,1.0,23.5,57.4,1.2,6.8,11.2,127.1,0.2,-268.1,-0.3
Dilbar Hussain,Dilbar Hussain,Right hand,Right arm pace,15,8,0,53.3,3,23,7,2,1,11,23,1,1,0,0,0,0,0,0,0.5,44.0,100.0,84.26,23.0,7.67,0.44,94.3,13.0,1.0,7.7,3.11,59.6,2.0,23.0,7.7,15,408,118,31,17,19,284,18,7,11,93,3,1,0,15,0,0,3,1,0,8.6,0,32.7,16.9,21.47,0,14.9,0,1.4,5.9,42.1,1.5,6.0,21.5,-277.9,0.1,94.9,0.1
Z Evans,Z Evans,Right hand,Right arm pace,10,4,0,40.0,3,8,0,0,1,7,9,2,0,0,0,2,0,0,0,0.8,22.2,88.9,77.78,4.0,2.67,2.22,16.900000000000006,11.1,0.9,3.0,0.67,77.7,2.0,4.5,9.0,10,281,53,32,11,13,168,3,0,3,53,3,0,0,9,0,1,6,0,0,10.0,0,31.5,25.6,21.62,0,12.9,0,1.7,3.9,33.9,1.6,5.3,21.6,-292.9,0.0,-32.1,0.4
L Delport,L Delport,Left hand,Left arm orthodox,30,14,0,46.7,14,54,15,4,2,26,55,12,1,0,0,11,0,0,0,0.5,30.5,98.2,51.64,4.5,3.86,3.12,19.200000000000003,10.9,1.0,3.9,1.79,54.1,3.7,4.6,9.2,30,749,251,47,33,35,583,13,1,12,199,6,3,0,24,2,0,5,0,0,7.7,0,34.1,13.7,21.4,0,16.7,0,1.3,7.3,44.0,1.5,5.9,21.4,-246.9,0.1,435.9,-0.0
MR Cowan,MR Cowan,Right hand,Right arm pace,14,6,0,42.9,14,263,80,34,2,118,254,12,4,0,0,6,1,1,0,0.5,36.3,103.5,30.45,21.92,18.79,15.72,16.299999999999997,14.2,1.0,18.1,13.35,26.200000000000003,4.2,21.2,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,0,,,,0,,0,,,,0.0,6.2,,-37.9,0.1,-313.1,
CL Green,CL Green,Right hand,Right arm pace,43,11,0,25.6,19,73,37,6,0,35,85,10,3,1,0,0,3,3,0,0.4,48.8,85.9,39.19,7.3,3.84,3.19,16.900000000000006,7.1,0.9,4.5,2.29,49.1,3.4,8.5,14.2,43,819,221,93,1,31,785,61,3,58,378,7,4,0,19,0,1,2,1,0,6.3,0,48.2,12.0,26.42,0,25.3,0,1.0,8.4,33.8,1.9,5.2,26.4,-227.9,0.0,505.9,-0.3
MJ Greig,MJ Greig,Right hand,Right arm off break,37,8,0,21.6,35,420,162,44,5,213,457,29,4,0,0,15,8,2,0,0.5,39.3,91.9,34.86,14.48,12.0,8.23,31.400000000000006,10.7,0.9,13.1,7.55,42.4,6.9,15.8,9.3,7,104,32,12,0,1,72,2,0,2,17,0,0,0,0,1,0,14,2,0,8.7,0,23.6,16.7,104.0,0,72.0,0,1.4,6.0,41.9,1.3,5.5,104.0,119.1,0.0,-209.1,0.1
MJ Hansen,MJ Hansen,Right hand,Right arm pace,27,4,0,14.8,12,46,30,2,0,19,58,7,1,1,0,3,2,0,0,0.3,56.7,79.3,29.07,6.57,3.83,2.81,26.599999999999994,3.4,0.8,4.8,2.81,41.5,4.5,8.3,29.0,24,351,104,40,2,9,270,9,1,8,89,2,1,0,6,0,0,7,0,0,7.8,0,33.0,15.6,39.0,0,30.0,0,1.3,6.4,39.7,1.3,4.8,39.0,-254.9,-0.1,37.9,-0.0
MS Rees,MS Rees,Right hand,Right arm pace,15,4,0,26.7,9,26,18,0,0,15,38,7,1,0,0,1,1,3,1,0.4,45.0,68.4,34.19,3.71,2.89,1.9,34.3,0.0,0.7,4.2,2.02,51.9,,5.4,inf,12,171,61,16,0,7,133,18,0,18,41,1,1,0,5,0,0,1,0,0,7.7,0,30.8,12.0,24.43,0,19.0,0,1.3,8.3,42.0,1.3,4.1,24.4,-274.9,-0.2,-142.1,-0.0
